Date,Symbol,Strategy,Strike,Contracts Bought,Cost,Exposure Achieved,Meets Exposure Requirement
4/11/2024,SPY,ATM,518.0,592.0,104192.0,919967.9999999979,
4/11/2024,IWM,ATM,202.5,3.0,285.0,2121.732,
4/11/2024,QQQ,ATM,446.0,921.0,142755.0,1623738.6569999966,
4/11/2024,ALL,ATMStrategy,,,247232.0,2545828.3889999944,False
4/12/2024,SPY,ATM,511.0,2574.0,635778.0,3906173.7000000146,
4/12/2024,IWM,ATM,199.0,2143.0,242158.99999999997,1466420.611999999,
4/12/2024,QQQ,ATM,439.0,156.0,31200.0,268929.4919999995,
4/12/2024,ALL,ATMStrategy,,,909137.0,5641523.8040000135,False
4/15/2024,SPY,ATM,505.0,1106.0,221200.0,1612935.0999999954,
4/15/2024,IWM,ATM,196.0,1154.0,191564.0,787960.432,
4/15/2024,QQQ,ATM,432.0,922.0,161350.0,1542825.011999998,
4/15/2024,ALL,ATMStrategy,,,574114.0,3943720.5439999932,False
4/16/2024,SPY,ATM,504.0,1106.0,206822.0,1618730.539999999,
4/16/2024,IWM,ATM,196.0,3.0,222.0,1824.6480000000047,
4/16/2024,QQQ,ATM,432.0,922.0,149364.0,1546664.220000001,
4/16/2024,ALL,ATMStrategy,,,356408.0,3167219.408,False
4/17/2024,SPY,ATM,501.0,1106.0,201292.0,1611054.900000002,
4/17/2024,IWM,ATM,193.0,1153.0,202928.0,801104.4000000008,
4/17/2024,QQQ,ATM,426.0,920.0,204240.00000000003,1591548.479999995,
4/17/2024,ALL,ATMStrategy,,,608460.0,4003707.7799999975,False
4/18/2024,SPY,ATM,500.0,1106.0,196868.0,1604319.3599999954,
4/18/2024,IWM,ATM,193.0,3.0,321.0,2034.6720000000005,
4/18/2024,QQQ,ATM,424.0,921.0,157491.0,1544499.5010000006,
4/18/2024,ALL,ATMStrategy,,,354680.0,3150853.532999996,False
4/19/2024,SPY,ATM,496.0,1943.0,347797.0,2723075.640000007,
4/19/2024,IWM,ATM,194.0,2147.0,165319.0,1308175.6880000005,
4/19/2024,QQQ,ATM,415.0,156.0,34320.0,259750.13999999888,
4/19/2024,ALL,ATMStrategy,,,547436.0,4291001.468000007,False
4/22/2024,SPY,ATM,500.0,1106.0,143780.0,1627102.96000001,
4/22/2024,IWM,ATM,196.0,3.0,174.0,1899.2400000000032,
4/22/2024,QQQ,ATM,419.0,920.0,138000.0,1563229.0399999958,
4/22/2024,ALL,ATMStrategy,,,281954.0,3192231.240000006,False
4/23/2024,SPY,ATM,506.0,1106.0,161476.0,1639036.6999999944,
4/23/2024,IWM,ATM,199.0,3.0,195.0,2015.5560000000037,
4/23/2024,QQQ,ATM,426.0,922.0,174258.0,1521103.613999998,
4/23/2024,ALL,ATMStrategy,,,335929.0,3162155.8699999927,False
4/24/2024,SPY,ATM,506.0,1106.0,94010.0,1611696.3800000045,
4/24/2024,IWM,ATM,198.0,3.0,219.0,2038.9440000000009,
4/24/2024,QQQ,ATM,427.0,921.0,90258.0,1565415.4109999961,
4/24/2024,ALL,ATMStrategy,,,184487.0,3179150.7350000003,False
4/25/2024,SPY,ATM,504.0,1106.0,496594.0,1614173.8199999987,
4/25/2024,IWM,ATM,197.0,3.0,267.0,1965.9840000000004,
4/25/2024,QQQ,ATM,425.0,921.0,479841.0,1552110.6449999977,
4/25/2024,ALL,ATMStrategy,,,976702.0,3168250.4489999963,False
4/26/2024,SPY,ATM,509.0,2259.0,225900.0,3277312.0199999944,
4/26/2024,IWM,ATM,199.0,2145.0,132990.0,1394455.9200000043,
4/26/2024,QQQ,ATM,431.0,156.0,26520.0,275667.59999999986,
