Date,Symbol,Strategy,Strike,Contracts Bought,Cost,Exposure Achieved,Meets Exposure Requirement
4/11/2024,SPY,Buy Everything,518.0,592.0,104192.0,919967.9999999979,
4/11/2024,SPY,Buy Everything,519.0,1619.0,202375.0,2354025.999999994,
4/11/2024,SPY,Buy Everything,520.0,2646.0,224910.0,3582683.99999999,
4/11/2024,SPY,Buy Everything,521.0,3311.0,182105.00000000003,4151993.999999988,
4/11/2024,SPY,Buy Everything,522.0,3614.0,122876.00000000001,4170555.999999987,
4/11/2024,SPY,Buy Everything,523.0,3917.0,78340.0,4128517.9999999856,
4/11/2024,SPY,Buy Everything,524.0,6086.0,73032.0,5806043.999999978,
4/11/2024,SPY,Buy Everything,525.0,8254.0,49524.0,7048915.99999997,
4/11/2024,SPY,Buy Everything,526.0,9338.0,37352.0,7040851.9999999665,
4/11/2024,SPY,Buy Everything,527.0,11227.0,33681.0,7342457.999999959,
4/11/2024,SPY,Buy Everything,528.0,13117.0,39351.0,7266817.9999999525,
4/11/2024,SPY,Buy Everything,529.0,13513.0,27026.0,6134901.999999951,
4/11/2024,SPY,Buy Everything,530.0,12416.0,24832.0,4395263.999999955,
4/11/2024,SPY,Buy Everything,531.0,11319.0,11319.0,2875025.999999959,
4/11/2024,SPY,Buy Everything,532.0,14241.0,14241.0,2193113.9999999483,
4/11/2024,SPY,Buy Everything,533.0,17163.0,17163.0,926801.9999999376,
4/11/2024,SPY,Buy Everything,534.0,18141.0,18141.0,0.0,
4/11/2024,SPY,Buy Everything,535.0,17175.0,17175.0,0.0,
4/11/2024,SPY,Buy Everything,536.0,16209.0,16209.0,0.0,
4/11/2024,SPY,Buy Everything,537.0,15349.0,15349.0,0.0,
4/11/2024,SPY,Buy Everything,538.0,14490.0,14490.0,0.0,
4/11/2024,SPY,Buy Everything,539.0,13631.0,13631.0,0.0,
4/11/2024,SPY,Buy Everything,540.0,13201.0,13201.0,0.0,
4/11/2024,SPY,Buy Everything,545.0,14561.0,14561.0,0.0,
4/11/2024,SPY,Buy Everything,550.0,18646.0,18646.0,0.0,
4/11/2024,SPY,Buy Everything,555.0,16152.0,16152.0,0.0,
4/11/2024,SPY,Buy Everything,560.0,18519.0,18519.0,0.0,
4/11/2024,SPY,Buy Everything,565.0,25916.0,25916.0,0.0,
4/11/2024,SPY,Buy Everything,570.0,21423.0,21423.0,0.0,
4/11/2024,SPY,Buy Everything,575.0,14202.0,14202.0,0.0,
4/11/2024,SPY,Buy Everything,580.0,17463.0,17463.0,0.0,
4/11/2024,SPY,Buy Everything,585.0,28648.0,28648.0,0.0,
4/11/2024,SPY,Buy Everything,590.0,31778.0,31778.0,0.0,
