Date,Symbol,Spot_Move
4/11/2024,SPY,1.03
4/11/2024,IWM,1.036
4/11/2024,QQQ,1.041
4/12/2024,SPY,1.03
4/12/2024,IWM,1.036
4/12/2024,QQQ,1.041
4/15/2024,SPY,1.03
4/15/2024,IWM,1.036
4/15/2024,QQQ,1.041
4/16/2024,SPY,1.03
4/16/2024,IWM,1.036
4/16/2024,QQQ,1.041
4/17/2024,SPY,1.03
4/17/2024,IWM,1.036
4/17/2024,QQQ,1.041
4/18/2024,SPY,1.03
4/18/2024,IWM,1.036
4/18/2024,QQQ,1.041
4/19/2024,SPY,1.03
4/19/2024,IWM,1.036
4/19/2024,QQQ,1.041
4/22/2024,SPY,1.03
4/22/2024,IWM,1.036
4/22/2024,QQQ,1.041
4/23/2024,SPY,1.03
4/23/2024,IWM,1.036
4/23/2024,QQQ,1.041
4/24/2024,SPY,1.03
4/24/2024,IWM,1.036
4/24/2024,QQQ,1.041
4/25/2024,SPY,1.03
4/25/2024,IWM,1.036
4/25/2024,QQQ,1.041
4/26/2024,SPY,1.03
4/26/2024,IWM,1.036
4/26/2024,QQQ,1.041
4/29/2024,SPY,1.03
4/29/2024,IWM,1.036
4/29/2024,QQQ,1.041
4/30/2024,SPY,1.03
4/30/2024,IWM,1.036
4/30/2024,QQQ,1.041
5/1/2024,SPY,1.03
5/1/2024,IWM,1.036
5/1/2024,QQQ,1.041
5/2/2024,SPY,1.03
5/2/2024,IWM,1.036
5/2/2024,QQQ,1.041
5/3/2024,SPY,1.03
5/3/2024,IWM,1.036
5/3/2024,QQQ,1.041
5/6/2024,SPY,1.03
5/6/2024,IWM,1.036
5/6/2024,QQQ,1.041
5/7/2024,SPY,1.03
5/7/2024,IWM,1.036
5/7/2024,QQQ,1.041
5/8/2024,SPY,1.03
5/8/2024,IWM,1.036
5/8/2024,QQQ,1.041
5/9/2024,SPY,1.03
5/9/2024,IWM,1.036
5/9/2024,QQQ,1.041
5/10/2024,SPY,1.03
5/10/2024,IWM,1.036
5/10/2024,QQQ,1.041
