Date,Option_ID,Symbol,Maturity,Buy,Ask_Price,Bid_Price,Premium_Cost
4/11/2024,SPY_4/12/2024_529.0,SPY,4/12/2024,4444.0,0.02,0.01,8888.0
4/11/2024,SPY_4/12/2024_531.0,SPY,4/12/2024,11319.0,0.01,0.0,11319.0
4/11/2024,QQQ_4/12/2024_459.0,QQQ,4/12/2024,11031.0,0.02,0.01,22062.0
4/12/2024,SPY_4/15/2024_522.0,SPY,4/15/2024,5347.0,0.06,0.05,32082.0
4/12/2024,SPY_4/15/2024_524.0,SPY,4/15/2024,19255.0,0.03,0.02,57765.0
4/12/2024,QQQ_4/15/2024_448.0,QQQ,4/15/2024,724.0,0.08,0.07,5792.0
4/12/2024,QQQ_4/15/2024_449.0,QQQ,4/15/2024,951.0,0.06,0.05,5706.0
4/12/2024,QQQ_4/15/2024_450.0,QQQ,4/15/2024,996.0,0.04,0.03,3984.0
4/12/2024,QQQ_4/15/2024_451.0,QQQ,4/15/2024,927.0,0.03,0.02,2781.0
4/12/2024,QQQ_4/15/2024_452.0,QQQ,4/15/2024,983.0,0.03,0.02,2949.0
4/12/2024,QQQ_4/15/2024_453.0,QQQ,4/15/2024,1253.0,0.02,0.01,2506.0
4/12/2024,QQQ_4/15/2024_454.0,QQQ,4/15/2024,1624.0,0.02,0.01,3248.0
4/12/2024,QQQ_4/15/2024_455.0,QQQ,4/15/2024,2.0,0.02,0.01,4.0
4/15/2024,QQQ_4/16/2024_443.0,QQQ,4/16/2024,10448.0,0.06,0.05,62688.0
4/15/2024,QQQ_4/16/2024_444.0,QQQ,4/16/2024,8471.0,0.05,0.04,42355.0
4/16/2024,QQQ_4/17/2024_442.0,QQQ,4/17/2024,583.0,0.04,0.03,2332.0
4/16/2024,QQQ_4/17/2024_443.0,QQQ,4/17/2024,10449.0,0.03,0.02,31347.0
4/16/2024,QQQ_4/17/2024_444.0,QQQ,4/17/2024,2.0,0.03,0.02,6.0
4/16/2024,QQQ_4/17/2024_445.0,QQQ,4/17/2024,9456.0,0.02,0.01,18912.0
4/17/2024,QQQ_4/18/2024_438.0,QQQ,4/18/2024,9923.0,0.05,0.04,49615.0
4/17/2024,QQQ_4/18/2024_439.0,QQQ,4/18/2024,11028.0,0.04,0.03,44112.0
4/18/2024,QQQ_4/19/2024_434.78,QQQ,4/19/2024,9369.0,0.05,0.04,46845.0
4/18/2024,QQQ_4/19/2024_436.0,QQQ,4/19/2024,9200.0,0.04,0.03,36800.0
4/19/2024,SPY_4/22/2024_505.0,SPY,4/22/2024,2495.0,0.08,0.07,19960.0
4/19/2024,SPY_4/22/2024_506.0,SPY,4/22/2024,9987.0,0.06,0.05,59922.0
4/19/2024,SPY_4/22/2024_507.0,SPY,4/22/2024,1553.0,0.05,0.04,7765.0
4/19/2024,SPY_4/22/2024_508.0,SPY,4/22/2024,19256.0,0.03,0.02,57768.0
4/19/2024,QQQ_4/22/2024_428.0,QQQ,4/22/2024,1072.0,0.06,0.05,6432.0
4/22/2024,SPY_4/23/2024_509.0,SPY,4/23/2024,7679.0,0.02,0.01,15358.0
4/22/2024,QQQ_4/23/2024_430.0,QQQ,4/23/2024,9370.0,0.02,0.01,18740.0
4/23/2024,SPY_4/24/2024_514.0,SPY,4/24/2024,4727.0,0.03,0.02,14181.0
4/23/2024,SPY_4/24/2024_516.0,SPY,4/24/2024,14061.0,0.02,0.01,28122.0
4/24/2024,SPY_4/25/2024_514.0,SPY,4/25/2024,8467.0,0.02,0.01,16934.0
