Date,Option_ID,Symbol,Maturity,Buy,Ask_Price,Bid_Price,Premium_Cost,base_exposure,Exposure
4/11/2024,SPY_4/12/2024_531.0,SPY,4/12/2024,11319.0,0.01,0.0,11319.0,5.1129793125981,10000163.743860424
4/11/2024,SPY_4/12/2024_532.0,SPY,4/12/2024,5.0,0.01,0.0,5.0,4.1129793125981,10000163.743860424
4/11/2024,QQQ_4/12/2024_459.0,QQQ,4/12/2024,4701.0,0.02,0.01,9402.0,8.957085663208545,10000163.743860424
4/15/2024,SPY_4/16/2024_519.0,SPY,4/16/2024,2.0,0.04,0.03,8.0,8.54983904782705,10000039.274317557
4/15/2024,SPY_4/16/2024_521.0,SPY,4/16/2024,15265.0,0.03,0.02,45795.0,6.549839047827049,10000039.274317557
4/17/2024,SPY_4/18/2024_511.0,SPY,4/18/2024,7042.0,0.05,0.04,35210.0,5.7776421503238,10000058.331885017
4/17/2024,SPY_4/18/2024_512.0,SPY,4/18/2024,12415.0,0.04,0.03,49660.0,4.7776421503238,10000058.331885017
4/19/2024,QQQ_4/22/2024_431.0,QQQ,4/22/2024,2467.0,0.04,0.03,9868.0,9.76661893049976,10000032.387220161
4/19/2024,QQQ_4/22/2024_432.0,QQQ,4/22/2024,204.0,0.04,0.03,816.0,8.76661893049976,10000032.387220161
4/19/2024,QQQ_4/22/2024_433.0,QQQ,4/22/2024,3810.0,0.03,0.02,11430.0,7.76661893049976,10000032.387220161
4/19/2024,QQQ_4/22/2024_434.0,QQQ,4/22/2024,4245.0,0.03,0.02,12735.0,6.76661893049976,10000032.387220161
4/19/2024,QQQ_4/22/2024_429.0,QQQ,4/22/2024,1343.0,0.05,0.04,6715.0,11.76661893049976,10000032.387220161
4/23/2024,SPY_4/24/2024_513.0,SPY,4/24/2024,9338.0,0.04,0.03,37352.0,5.066828753438472,10000077.163151216
4/23/2024,SPY_4/24/2024_514.0,SPY,4/24/2024,11227.0,0.03,0.02,33681.0,4.066828753438472,10000077.163151216
4/23/2024,SPY_4/24/2024_516.0,SPY,4/24/2024,240.0,0.02,0.01,480.0,2.0668287534384717,10000077.163151216
4/23/2024,IWM_4/24/2024_203.0,IWM,4/24/2024,2190.0,0.02,0.01,4380.0,2.9828307836642693,10000077.163151216
4/25/2024,IWM_4/26/2024_202.5,IWM,4/26/2024,5862.0,0.03,0.02,17586.0,5.420507412307757,10000156.7789291
4/25/2024,IWM_4/26/2024_203.0,IWM,4/26/2024,5350.0,0.03,0.02,16050.0,4.920507412307757,10000156.7789291
4/25/2024,IWM_4/26/2024_204.0,IWM,4/26/2024,5511.0,0.02,0.01,11022.0,3.9205074123077566,10000156.7789291
4/25/2024,IWM_4/26/2024_206.0,IWM,4/26/2024,10568.0,0.01,0.0,10568.0,1.9205074123077566,10000156.7789291
4/29/2024,SPY_4/30/2024_521.0,SPY,4/30/2024,13513.0,0.01,0.0,13513.0,5.4271296526812876,10000140.489478163
4/29/2024,SPY_4/30/2024_522.0,SPY,4/30/2024,6023.0,0.01,0.0,6023.0,4.4271296526812876,10000140.489478163
5/1/2024,SPY_5/2/2024_510.0,SPY,5/2/2024,3002.0,0.05,0.04,15010.0,4.781853819070534,10000059.46933487
5/1/2024,SPY_5/2/2024_511.0,SPY,5/2/2024,13513.0,0.03,0.02,40539.0,3.781853819070534,10000059.46933487
5/1/2024,SPY_5/2/2024_512.0,SPY,5/2/2024,12416.0,0.02,0.01,24832.0,2.781853819070534,10000059.46933487
5/1/2024,SPY_5/2/2024_513.0,SPY,5/2/2024,1.0,0.02,0.01,2.0,1.781853819070534,10000059.46933487
5/3/2024,SPY_5/6/2024_520.0,SPY,5/6/2024,2298.0,0.02,0.01,4596.0,8.385585952734573,10000093.324760607
5/3/2024,SPY_5/6/2024_518.0,SPY,5/6/2024,252.0,0.03,0.02,756.0,10.385585952734573,10000093.324760607
5/3/2024,SPY_5/6/2024_519.0,SPY,5/6/2024,2167.0,0.02,0.01,4334.0,9.385585952734573,10000093.324760607
5/3/2024,QQQ_5/6/2024_450.0,QQQ,5/6/2024,1163.0,0.01,0.0,1163.0,5.451661304880645,10000093.324760607
5/3/2024,QQQ_5/6/2024_444.0,QQQ,5/6/2024,497.0,0.02,0.01,994.0,11.451661304880645,10000093.324760607
5/3/2024,QQQ_5/6/2024_445.0,QQQ,5/6/2024,724.0,0.02,0.01,1448.0,10.451661304880645,10000093.324760607
5/3/2024,QQQ_5/6/2024_446.0,QQQ,5/6/2024,951.0,0.02,0.0,1902.0,9.451661304880645,10000093.324760607
