Date,Option_ID,Symbol,Maturity,Buy,Sell,Ask_Price,Bid_Price,Premium_Cost,Exposure
4/11/2024,SPY_4/12/2024_531.0,SPY,4/12/2024,11316.0,0.0,0.01,0.0,11316.0,10000009.969268028
4/11/2024,SPY_4/12/2024_532.0,SPY,4/12/2024,4.0,0.0,0.01,0.0,4.0,10000009.969268028
4/12/2024,SPY_4/15/2024_524.0,SPY,4/15/2024,1.0,0.0,0.03,0.02,3.0,10000045.571102895
4/12/2024,SPY_4/15/2024_527.0,SPY,4/15/2024,4880.0,0.0,0.02,0.01,9760.0,10000045.571102895
4/12/2024,SPY_4/15/2024_528.0,SPY,4/15/2024,1.0,0.0,0.02,0.01,2.0,10000045.571102895
4/12/2024,SPY_4/15/2024_530.0,SPY,4/15/2024,16694.0,0.0,0.01,0.0,16694.0,10000045.571102895
4/15/2024,SPY_4/16/2024_519.0,SPY,4/16/2024,3.0,0.0,0.04,0.03,12.0,10000239.274317557
4/15/2024,SPY_4/16/2024_521.0,SPY,4/16/2024,15264.0,0.0,0.03,0.02,45792.0,10000239.274317557
4/16/2024,SPY_4/17/2024_518.0,SPY,4/17/2024,11655.0,0.0,0.02,0.01,23310.0,10000030.963932421
4/24/2024,SPY_4/25/2024_518.0,SPY,4/25/2024,7173.0,0.0,0.01,0.0,7173.0,10000067.867970917
4/16/2024,SPY_4/17/2024_516.0,SPY,4/17/2024,11317.0,0.0,0.03,0.02,33951.0,10000030.963932421
4/17/2024,SPY_4/18/2024_511.0,SPY,4/18/2024,7042.0,0.0,0.05,0.04,35210.0,10000058.331885017
4/17/2024,SPY_4/18/2024_512.0,SPY,4/18/2024,12415.0,0.0,0.04,0.03,49660.0,10000058.331885017
4/23/2024,SPY_4/24/2024_513.0,SPY,4/24/2024,9338.0,0.0,0.04,0.03,37352.0,10000063.797400529
4/23/2024,SPY_4/24/2024_514.0,SPY,4/24/2024,11227.0,0.0,0.03,0.02,33681.0,10000063.797400529
4/23/2024,SPY_4/24/2024_515.0,SPY,4/24/2024,4.0,0.0,0.03,0.02,12.0,10000063.797400529
4/23/2024,SPY_4/24/2024_516.0,SPY,4/24/2024,234.0,0.0,0.02,0.01,468.0,10000063.797400529
4/24/2024,SPY_4/25/2024_517.0,SPY,4/25/2024,12416.0,0.0,0.01,0.0,12416.0,10000067.867970917
4/22/2024,SPY_4/23/2024_509.0,SPY,4/23/2024,13116.0,0.0,0.02,0.01,26232.0,10000068.459868781
4/22/2024,SPY_4/23/2024_510.0,SPY,4/23/2024,1.0,0.0,0.02,0.01,2.0,10000068.459868781
4/26/2024,SPY_4/29/2024_512.0,SPY,4/29/2024,1099.0,0.0,0.2,0.19,21980.0,10000015.48431993
4/26/2024,SPY_4/29/2024_513.0,SPY,4/29/2024,1200.0,0.0,0.1,0.09,12000.0,10000015.48431993
4/26/2024,SPY_4/29/2024_514.0,SPY,4/29/2024,1434.0,0.0,0.06,0.05,8604.0,10000015.48431993
4/26/2024,SPY_4/29/2024_515.0,SPY,4/29/2024,1801.0,0.0,0.03,0.02,5403.0,10000015.48431993
4/26/2024,SPY_4/29/2024_516.0,SPY,4/29/2024,2167.0,0.0,0.02,0.01,4334.0,10000015.48431993
4/26/2024,SPY_4/29/2024_517.0,SPY,4/29/2024,2298.0,0.0,0.01,0.0,2298.0,10000015.48431993
4/29/2024,SPY_4/30/2024_521.0,SPY,4/30/2024,13513.0,0.0,0.01,0.0,13513.0,10000140.489478163
