Date,Option_ID,Maturity,Buy,Sell,Ask_Price,Bid_Price,Premium_Cost,Exposure
4/11/2024,SPY_4/12/2024_529.0,4/12/2024,4439.0,0.0,0.02,0.01,8878.0,10000015.577999905
4/11/2024,SPY_4/12/2024_531.0,4/12/2024,11319.0,0.0,0.01,0.0,11319.0,10000015.577999905
4/11/2024,SPY_4/12/2024_532.0,4/12/2024,1.0,0.0,0.01,0.0,1.0,10000015.577999905
4/12/2024,SPY_4/15/2024_522.0,4/15/2024,5356.0,0.0,0.06,0.05,32136.0,10000040.656000115
4/12/2024,SPY_4/15/2024_524.0,4/15/2024,19239.0,0.0,0.03,0.02,57717.0,10000040.656000115
4/25/2024,SPY_4/26/2024_518.0,4/26/2024,1.0,0.0,0.02,0.01,2.0,10000039.31999996
4/23/2024,SPY_4/24/2024_514.0,4/24/2024,4728.0,0.0,0.03,0.02,14184.0,10000076.599999905
4/23/2024,SPY_4/24/2024_516.0,4/24/2024,14056.0,0.0,0.02,0.01,28112.0,10000076.599999905
4/23/2024,SPY_4/24/2024_517.0,4/24/2024,4.0,0.0,0.02,0.01,8.0,10000076.599999905
4/24/2024,SPY_4/25/2024_514.0,4/25/2024,8469.0,0.0,0.02,0.01,16938.0,10000019.630000085
4/24/2024,SPY_4/25/2024_517.0,4/25/2024,12412.0,0.0,0.01,0.0,12412.0,10000019.630000085
4/25/2024,SPY_4/26/2024_515.0,4/26/2024,12416.0,0.0,0.08,0.07,99328.0,10000039.31999996
4/25/2024,SPY_4/26/2024_516.0,4/26/2024,11319.0,0.0,0.05,0.04,56595.0,10000039.31999996
4/25/2024,SPY_4/26/2024_517.0,4/26/2024,14241.0,0.0,0.03,0.02,42723.0,10000039.31999996
4/25/2024,SPY_4/26/2024_517.5,4/26/2024,3.0,0.0,0.03,0.02,9.0,10000039.31999996
4/19/2024,SPY_4/22/2024_505.0,4/22/2024,2495.0,0.0,0.08,0.07,19960.0,10000001.073000113
4/22/2024,SPY_4/23/2024_509.0,4/23/2024,7679.0,0.0,0.02,0.01,15358.0,10000085.580000026
4/26/2024,SPY_4/29/2024_516.0,4/29/2024,2167.0,0.0,0.02,0.01,4334.0,10000208.239999948
4/26/2024,SPY_4/29/2024_517.0,4/29/2024,2298.0,0.0,0.01,0.0,2298.0,10000208.239999948
4/26/2024,SPY_4/29/2024_518.0,4/29/2024,2429.0,0.0,0.01,0.0,2429.0,10000208.239999948
4/26/2024,SPY_4/29/2024_519.0,4/29/2024,6241.0,0.0,0.01,0.0,6241.0,10000208.239999948
4/26/2024,SPY_4/29/2024_520.0,4/29/2024,7773.0,0.0,0.01,0.0,7773.0,10000208.239999948
4/29/2024,SPY_4/30/2024_518.0,4/30/2024,5576.0,0.0,0.02,0.01,11152.0,10000048.56000003
4/29/2024,SPY_4/30/2024_521.0,4/30/2024,13513.0,0.0,0.01,0.0,13513.0,10000048.56000003
4/29/2024,SPY_4/30/2024_522.0,4/30/2024,3.0,0.0,0.01,0.0,3.0,10000048.56000003
4/19/2024,SPY_4/22/2024_506.0,4/22/2024,9987.0,0.0,0.06,0.05,59922.0,10000001.073000113
4/19/2024,SPY_4/22/2024_507.0,4/22/2024,1551.0,0.0,0.05,0.04,7755.0,10000001.073000113
4/19/2024,SPY_4/22/2024_508.0,4/22/2024,19256.0,0.0,0.03,0.02,57768.0,10000001.073000113
5/1/2024,SPY_5/2/2024_512.0,5/2/2024,12411.0,0.0,0.02,0.01,24822.0,10000065.655999936
5/1/2024,SPY_5/2/2024_513.0,5/2/2024,1.0,0.0,0.02,0.01,2.0,10000065.655999936
5/2/2024,SPY_5/3/2024_517.5,5/3/2024,11319.0,0.0,0.02,0.01,22638.0,10000018.90999981
5/2/2024,SPY_5/3/2024_519.0,5/3/2024,1.0,0.0,0.02,0.01,2.0,10000018.90999981
5/3/2024,SPY_5/6/2024_520.0,5/6/2024,2298.0,0.0,0.02,0.01,4596.0,10000010.243999975
5/3/2024,SPY_5/6/2024_518.0,5/6/2024,1801.0,0.0,0.03,0.02,5403.0,10000010.243999975
5/3/2024,SPY_5/6/2024_519.0,5/6/2024,2167.0,0.0,0.02,0.01,4334.0,10000010.243999975
5/6/2024,SPY_5/7/2024_525.0,5/7/2024,7587.0,0.0,0.01,0.0,7587.0,10000387.62000004
5/7/2024,SPY_5/8/2024_524.0,5/8/2024,7170.0,0.0,0.01,0.0,7170.0,10000596.695999948
5/9/2024,SPY_5/10/2024_527.5,5/10/2024,8254.0,0.0,0.01,0.0,8254.0,10000509.705999952
5/8/2024,SPY_5/9/2024_525.0,5/9/2024,7201.0,0.0,0.01,0.0,7201.0,10000366.09400004
5/3/2024,SPY_5/6/2024_525.0,5/6/2024,3540.0,0.0,0.01,0.0,3540.0,10000010.243999975
4/19/2024,IWM_4/22/2024_199.0,4/22/2024,2.0,0.0,0.02,0.01,4.0,10000001.073000113
4/25/2024,IWM_4/26/2024_202.0,4/26/2024,2115.0,0.0,0.04,0.03,8460.0,10000039.31999996
4/11/2024,QQQ_4/12/2024_457.0,4/12/2024,3.0,0.0,0.03,0.02,9.0,10000015.577999905
4/11/2024,QQQ_4/12/2024_459.0,4/12/2024,11031.0,0.0,0.02,0.01,22062.0,10000015.577999905
4/12/2024,QQQ_4/15/2024_448.0,4/15/2024,724.0,0.0,0.08,0.07,5792.0,10000040.656000115
4/12/2024,QQQ_4/15/2024_449.0,4/15/2024,951.0,0.0,0.06,0.05,5706.0,10000040.656000115
4/12/2024,QQQ_4/15/2024_450.0,4/15/2024,996.0,0.0,0.04,0.03,3984.0,10000040.656000115
4/12/2024,QQQ_4/15/2024_451.0,4/15/2024,927.0,0.0,0.03,0.02,2781.0,10000040.656000115
4/12/2024,QQQ_4/15/2024_452.0,4/15/2024,983.0,0.0,0.03,0.02,2949.0,10000040.656000115
4/12/2024,QQQ_4/15/2024_453.0,4/15/2024,1253.0,0.0,0.02,0.01,2506.0,10000040.656000115
4/12/2024,QQQ_4/15/2024_454.0,4/15/2024,1624.0,0.0,0.02,0.01,3248.0,10000040.656000115
4/15/2024,QQQ_4/16/2024_446.0,4/16/2024,1.0,0.0,0.03,0.02,3.0,10000006.319999961
4/15/2024,QQQ_4/16/2024_443.0,4/16/2024,10447.0,0.0,0.06,0.05,62682.0,10000006.319999961
4/15/2024,QQQ_4/16/2024_444.0,4/16/2024,8470.0,0.0,0.05,0.04,42350.0,10000006.319999961
4/15/2024,QQQ_4/16/2024_445.0,4/16/2024,2.0,0.0,0.04,0.03,8.0,10000006.319999961
4/16/2024,QQQ_4/17/2024_442.0,4/17/2024,585.0,0.0,0.04,0.03,2340.0,10000102.39000002
4/16/2024,QQQ_4/17/2024_443.0,4/17/2024,10449.0,0.0,0.03,0.02,31347.0,10000102.39000002
4/16/2024,QQQ_4/17/2024_445.0,4/17/2024,9455.0,0.0,0.02,0.01,18910.0,10000102.39000002
4/17/2024,QQQ_4/18/2024_439.0,4/18/2024,11028.0,0.0,0.04,0.03,44112.0,10000056.743999891
4/17/2024,QQQ_4/18/2024_438.0,4/18/2024,9923.0,0.0,0.05,0.04,49615.0,10000056.743999891
4/18/2024,QQQ_4/19/2024_434.78,4/19/2024,9365.0,0.0,0.05,0.04,46825.0,10000067.170000039
4/18/2024,QQQ_4/19/2024_436.0,4/19/2024,9205.0,0.0,0.04,0.03,36820.0,10000067.170000039
4/19/2024,QQQ_4/22/2024_428.0,4/22/2024,1073.0,0.0,0.06,0.05,6438.0,10000001.073000113
4/22/2024,QQQ_4/23/2024_430.0,4/23/2024,9370.0,0.0,0.02,0.01,18740.0,10000085.580000026
4/30/2024,QQQ_5/1/2024_436.0,5/1/2024,9370.0,0.0,0.09,0.01,84330.0,10000049.855999926
4/30/2024,QQQ_5/1/2024_438.0,5/1/2024,9456.0,0.0,0.05,0.02,47280.0,10000049.855999926
4/30/2024,QQQ_5/1/2024_440.0,5/1/2024,2998.0,0.0,0.03,0.02,8994.0,10000049.855999926
5/1/2024,QQQ_5/2/2024_434.0,5/2/2024,4651.0,0.0,0.03,0.02,13953.0,10000065.655999936
5/1/2024,QQQ_5/2/2024_435.0,5/2/2024,9456.0,0.0,0.02,0.01,18912.0,10000065.655999936
5/1/2024,QQQ_5/2/2024_438.0,5/2/2024,1.0,0.0,0.01,0.0,1.0,10000065.655999936
5/2/2024,QQQ_5/3/2024_439.0,5/3/2024,1.0,0.0,0.05,0.04,5.0,10000018.90999981
5/2/2024,QQQ_5/3/2024_440.0,5/3/2024,7145.0,0.0,0.04,0.03,28580.0,10000018.90999981
5/2/2024,QQQ_5/3/2024_441.0,5/3/2024,7882.0,0.0,0.03,0.02,23646.0,10000018.90999981
5/2/2024,QQQ_5/3/2024_442.0,5/3/2024,4731.0,0.0,0.02,0.01,9462.0,10000018.90999981
5/3/2024,QQQ_5/6/2024_450.0,5/6/2024,1163.0,0.0,0.01,0.0,1163.0,10000010.243999975
5/3/2024,QQQ_5/6/2024_443.0,5/6/2024,569.0,0.0,0.04,0.03,2276.0,10000010.243999975
5/3/2024,QQQ_5/6/2024_444.0,5/6/2024,497.0,0.0,0.02,0.01,994.0,10000010.243999975
